sample_id,Retreival Setting,Question,Context,Answer,Answer_sent_tokenized,Sentence_labels,Label,Answerable,Does_not_answer
train_0,Lucene Search,Why do I have to apply the parking brake fully for parking?,"[4523, 1165, 1051, 2489, 6203, 6617, 15, 3895, 6064, 6202, 6203, 4523, 1165, 3532, 2901, 860, 34, 778, 15, 1040, 1354, 6279, 3685, 804, 956, 6350, 3314, 4520, 15, 4400, 3918, 6350, 3314, 5310, 4400, 2750, 2949, 34, 6203, 4523, 1165, 3712, 3532, 3789, 3314, 6203, 1350, 1658, 34, 6279, 862, 6203, 4523, 1165, 15, 4904, 6203, 3712, 6539, 896, 2749, 896, 4729, 34, 6279, 5159, 6203, 4523, 1165, 15, 4904, 6203, 3712, 6539, 5710, 15, 4927, 6203, 1350, 1234, 15, 6210, 3843, 6203, 3712, 1579, 34, 6758, 6203, 4523, 1165, 3532, 860, 6803, 6203, 3268, 6086, 4345, 15, 6203, 1165, 6698, 3732, 3314, 6203, 3451, 1482, 6778, 3279, 34, 6758, 4523, 4345, 548, 3171, 15, 3543, 3532, 3303, 6279, 6417, 6203, 2880, 6756, 6316, 6203, 1822, 4345, 548, 2181, 3011, 811, 982, 2879, 6203, 1822, 4345, 804, 6549, 3011, 34, 2821, 6620, 2405, 6803, 804, 956, 6350, 15, 862, 6203, 4523, 1165, 1051, 4657, 6203, 2949, 5539, 3314, 4520, 15, 4415, 6203, 3781, 4345, 6203, 6350, 3801, 3971, 3957, 3895, 3543, 2070, 6279, 4128, 6203, 2949, 5539, 4418, 4318, 4520, 34, 4247, 538, 6758, 6203, 4523, 1165, 3532, 860, 811, 6203, 956, 6350, 3532, 4654, 3314, 2949, 15, 6203, 1165, 6698, 3732, 6778, 2766, 34, 3266, 6617, 5826, 3532, 2016, 15, 548, 1401, 6778, 5790, 6279, 754, 6203, 2216, 34, 2901, 5159, 6203, 4523, 1165, 1051, 934, 6279, 4128, 6203, 6617, 34, 6227, 3732, 4361, 5637, 6202, 6203, 4523, 1165, 3532, 860, 34, 3543, 2162, 4245, 5633, 6203, 1947, 4318, 1165, 858, 34, 6698, 538, 4198, 6569, 6203, 4520, 4721, 4345, 804, 956, 6350, 896, 548, 6016, 2821, 6203, 4523, 1165, 34, 789, 862, 6203, 4523, 1165, 2901, 6758, 4522, 6279, 3047, 721, 6617, 4130, 811, 4729, 3417, 4400, 1863, 34, 6758, 2489, 6203, 6617, 15, 789, 5184, 6203, 3588, 2796, 2879, 6203, 6617, 811, 3796, 6854, 6617, 34, 4198, 3685, 1399, 774, 3314, 548, 6617, 15, 4400, 6803, 595, 6279, 804, 6510, 6617, 34, 771, 1399, 6279, 1040, 3314, 548, 6617, 6448, 3532, 1871, 2821, 548, 4263, 4318, 5049, 34, 548, 1397, 4400, 4414, 1756, 1040, 5570, 4400, 2693, 3414, 34, 1399, 5631, 1040, 6697, 4245, 6279, 6307, 6203, 4523, 1165, 15, 1165, 4571, 4400, 6203, 2949, 5539, 34, 2155, 4245, 3685, 6203, 3588, 2796, 3314, 4400, 4178, 6203, 6617, 15, 4400, 3314, 548, 3792, 599, 6279, 1399, 34, 548, 1397, 1756, 4378, 4743, 6784, 15, 4413, 1709, 15, 4400, 4128, 6203, 6617, 34, 1040, 6064, 6203, 4523, 1165, 3532, 2901, 2122, 1051, 2226, 539, 2669, 6279, 2155, 5756, 1277, 3671, 6279, 1165, 2669, 811, 548, 1515, 34, 789, 2901, 862, 6203, 4523, 1165, 6758, 3687, 6854, 6617, 4400, 3543, 3957, 5365, 811, 1334, 1863, 4400, 3417, 34, 778, 15, 1040, 1354, 6279, 3685, 804, 956, 6350, 3314, 4520, 15, 548, 3918, 6350, 3314, 5310, 4400, 2750, 2949, 34, 2669, 6279, 2155, 5756, 3957, 1334, 6203, 6617, 6279, 5365, 811, 1334, 1863, 4400, 3417, 34, 1338, 538, 3266, 6203, 1165, 6698, 3732, 5173, 4345, 6803, 6203, 4523, 1165, 5160, 15, 548, 1165, 6099, 3899, 3532, 3361, 34, 3104, 6203, 1165, 6099, 5577, 1241, 804, 950, 1899, 3293, 34]","You have to apply the parking brake fully for parking to guard against vehicle movement and possible injury or damage. The parking brake helps to prevent the vehicle from rolling or moving while parked, especially on a hill or slope. It also helps to reduce the load on the transmission locking mechanism, making it easier to move the gear selector out of PARK. Therefore, it is important to always apply the parking brake fully when parking your vehicle.","['R1:  You have to apply the parking brake fully for parking to guard against vehicle movement and possible injury or damage.', 'R2:  The parking brake helps to prevent the vehicle from rolling or moving while parked, especially on a hill or slope.', 'R3:  It also helps to reduce the load on the transmission locking mechanism, making it easier to move the gear selector out of PARK.', 'R4:  Therefore, it is important to always apply the parking brake fully when parking your vehicle.']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported', 'R4': 'Supported'}",Not Hallucinated,TRUE,FALSE
train_1,Lucene Search,How to properly re-install the carpets in the car?,"[1312, 5418, 3392, 789, 6569, 1312, 2002, 6279, 2752, 6854, 6617, 34, 4361, 6569, 1312, 6202, 2162, 4245, 3478, 6803, 6203, 4382, 4318, 6203, 4571, 906, 34, 4361, 4378, 6203, 6617, 6758, 6203, 1312, 3532, 5517, 927, 1241, 6203, 3035, 5756, 3543, 1277, 4245, 5713, 4418, 4318, 4721, 811, 3478, 6803, 6203, 4571, 906, 4400, 3298, 5412, 4382, 4318, 6854, 6617, 3314, 4413, 6725, 34, 6698, 538, 3266, 4381, 6203, 6617, 6807, 1312, 3314, 4652, 6203, 2780, 3957, 1045, 3207, 15, 811, 6212, 3532, 548, 5343, 4318, 1231, 34, 804, 3308, 927, 15, 1864, 15, 2806, 15, 4400, 1864, 3035, 3957, 1334, 6854, 1312, 6279, 3478, 6803, 6203, 589, 15, 1165, 15, 4400, 1484, 4572, 811, 1334, 548, 3830, 4318, 6617, 1702, 34, 6279, 4801, 5569, 3417, 4400, 1904, 538, 789, 5517, 925, 6854, 1312, 6576, 6203, 3035, 34, 789, 3895, 6064, 4282, 1277, 4245, 2671, 4400, 5706, 3500, 6203, 2220, 5650, 2780, 879, 6758, 6203, 6617, 3532, 4133, 34, 4282, 1277, 1045, 6366, 6459, 589, 15, 1165, 15, 4400, 1484, 4572, 811, 1756, 1334, 548, 3830, 4318, 6617, 1702, 34, 4198, 4652, 839, 4282, 6459, 6203, 1312, 8, 2262, 2919, 15, 6320, 15, 3594, 15, 2436, 34, 9, 34, 6217, 4282, 1756, 1365, 6203, 4721, 4318, 6203, 1312, 811, 3957, 1334, 3479, 6803, 6203, 589, 15, 1165, 15, 4400, 1484, 4572, 34, 4361, 3439, 1312, 2002, 6279, 2752, 6854, 6617, 34, 4198, 3439, 1312, 6202, 1277, 4245, 1040, 4868, 927, 811, 5516, 6279, 6854, 6617, 34, 3266, 6203, 1312, 4190, 6279, 1040, 5205, 15, 4361, 6569, 3923, 870, 1312, 2821, 6203, 5817, 3895, 15, 4077, 15, 811, 6840, 4318, 6854, 6617, 34, 3266, 6203, 6617, 1312, 3102, 1048, 5185, 811, 5016, 15, 789, 4868, 925, 1312, 6279, 6203, 2780, 811, 1388, 6202, 6203, 2780, 3941, 2688, 878, 5515, 6279, 6203, 6617, 1312, 34, 2901, 1979, 2263, 4571, 6279, 1388, 2821, 3479, 6803, 6203, 589, 15, 1165, 15, 4400, 1484, 4572, 6210, 5014, 6203, 2780, 3949, 34]","To properly re-install the carpets in your car, you should follow these steps: 1. Make sure you have the correct carpet designed to fit your vehicle. 2. Ensure that the carpet is not damaged, folded, or has damaged grommets that could cause interference with the accelerator, brake, or clutch pedals. 3. Securely attach the carpet using the grommets to prevent it from slipping out of position and interfering with the pedal assemblies or impairing safe operation of your vehicle in other ways. 4. Check that objects cannot fall or slide into the driver's side floor area when the vehicle is moving, as they can become trapped under accelerator, brake, or clutch pedals and cause a loss of vehicle control. 5. Never place any objects under the carpet, as they could change the position of the carpet and cause interference with the accelerator, brake, or clutch pedals. 6. Fully depress each pedal to check for interference with the accelerator, brake, or clutch pedals, then re-install the floor mats. 7. If the vehicle carpet has been removed and re-installed, always properly attach the carpet to the floor and check that the floor mat fasteners are secure to the vehicle carpet.","['R1:  To properly re-install the carpets in your car, you should follow these steps: 1.', 'R2:  Make sure you have the correct carpet designed to fit your vehicle.', 'R3: 2. Ensure that the carpet is not damaged, folded, or has damaged grommets that could cause interference with the accelerator, brake, or clutch pedals.', 'R4: 3. Securely attach the carpet using the grommets to prevent it from slipping out of position and interfering with the pedal assemblies or impairing safe operation of your vehicle in other ways.', ""R5: 4. Check that objects cannot fall or slide into the driver's side floor area when the vehicle is moving, as they can become trapped under accelerator, brake, or clutch pedals and cause a loss of vehicle control."", 'R6: 5. Never place any objects under the carpet, as they could change the position of the carpet and cause interference with the accelerator, brake, or clutch pedals.', 'R7: 6. Fully depress each pedal to check for interference with the accelerator, brake, or clutch pedals, then re-install the floor mats.', 'R8: 7. If the vehicle carpet has been removed and re-installed, always properly attach the carpet to the floor and check that the floor mat fasteners are secure to the vehicle carpet.']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported', 'R4': 'Supported', 'R5': 'Neither', 'R6': 'Supported', 'R7': 'Supported', 'R8': 'Supported'}",Hallucinated,TRUE,FALSE
train_2,Lucene Search,The Water in Fuel Indicator Light is on.  What should I do now?,"[6716, 3314, 2892, 3367, 3732, 3266, 2405, 6203, 6716, 3314, 2892, 3367, 3732, 6778, 3279, 6758, 6212, 3532, 6716, 2016, 3314, 6203, 2892, 2732, 34, 3266, 6227, 3732, 5173, 4345, 15, 2155, 4245, 5887, 6203, 6617, 1051, 6850, 2192, 6203, 6716, 2879, 6203, 2892, 2732, 6279, 4801, 2360, 1863, 15, 811, 4674, 5521, 804, 950, 1899, 34, 1338, 538, 6203, 4782, 4318, 6716, 3314, 6203, 2892, 6099, 1420, 3957, 1334, 5591, 1863, 6279, 6203, 3410, 6099, 811, 3528, 2360, 4382, 34, 3266, 6203, 3367, 3732, 3532, 3280, 15, 1670, 804, 950, 1899, 896, 5787, 896, 4729, 6279, 1107, 6203, 6099, 34, 3266, 6203, 4806, 3986, 3369, 1542, 4345, 3293, 715, 5124, 15, 6716, 4400, 660, 8, 6561, 9, 3104, 4818, 1048, 4740, 3500, 6203, 6128, 538, 6086, 6203, 2360, 4320, 3293, 811, 1670, 804, 950, 1899, 34]","If the Water in Fuel Indicator Light is on, do not start the vehicle. You should drain the water from the fuel filter to prevent engine damage. It is important to see an authorized dealer for assistance. The presence of water in the fuel system circuit may cause severe damage to the injection system and irregular engine operation. Contact an authorized dealer as soon as possible to bleed the system.","['R1:  If the Water in Fuel Indicator Light is on, do not start the vehicle.', 'R2:  You should drain the water from the fuel filter to prevent engine damage.', 'R3:  It is important to see an authorized dealer for assistance.', 'R4:  The presence of water in the fuel system circuit may cause severe damage to the injection system and irregular engine operation.', 'R5:  Contact an authorized dealer as soon as possible to bleed the system.']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported', 'R4': 'Supported', 'R5': 'Supported'}",Not Hallucinated,TRUE,FALSE
train_3,Ensemble Retriever (Base),The Water in Fuel Indicator Light is on.  What should I do now?,"[6716, 3314, 2892, 3367, 3732, 3266, 2405, 6203, 6716, 3314, 2892, 3367, 3732, 6778, 3279, 6758, 6212, 3532, 6716, 2016, 3314, 6203, 2892, 2732, 34, 3266, 6227, 3732, 5173, 4345, 15, 2155, 4245, 5887, 6203, 6617, 1051, 6850, 2192, 6203, 6716, 2879, 6203, 2892, 2732, 6279, 4801, 2360, 1863, 15, 811, 4674, 5521, 804, 950, 1899, 34, 1338, 538, 6203, 4782, 4318, 6716, 3314, 6203, 2892, 6099, 1420, 3957, 1334, 5591, 1863, 6279, 6203, 3410, 6099, 811, 3528, 2360, 4382, 34, 3266, 6203, 3367, 3732, 3532, 3280, 15, 1670, 804, 950, 1899, 896, 5787, 896, 4729, 6279, 1107, 6203, 6099, 34, 3266, 6203, 4806, 3986, 3369, 1542, 4345, 3293, 715, 5124, 15, 6716, 4400, 660, 8, 6561, 9, 3104, 4818, 1048, 4740, 3500, 6203, 6128, 538, 6086, 6203, 2360, 4320, 3293, 811, 1670, 804, 950, 1899, 34]","If the Water in Fuel Indicator Light is on, you should not start the vehicle before draining the water from the fuel filter to prevent engine damage. It is recommended to see an authorized dealer for assistance. The presence of water in the fuel system circuit may cause severe damage to the injection system and irregular engine operation. Therefore, it is important to take immediate action to prevent further damage.","['R1:  If the Water in Fuel Indicator Light is on, you should not start the vehicle before draining the water from the fuel filter to prevent engine damage.', 'R2:  It is recommended to see an authorized dealer for assistance.', 'R3:  The presence of water in the fuel system circuit may cause severe damage to the injection system and irregular engine operation.', 'R4:  Therefore, it is important to take immediate action to prevent further damage.']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported', 'R4': 'Supported'}",Not Hallucinated,TRUE,FALSE
train_4,Adaptive Ensemble Search,The Water in Fuel Indicator Light is on.  What should I do now?,"[6716, 3314, 2892, 3367, 3732, 3266, 2405, 6203, 6716, 3314, 2892, 3367, 3732, 6778, 3279, 6758, 6212, 3532, 6716, 2016, 3314, 6203, 2892, 2732, 34, 3266, 6227, 3732, 5173, 4345, 15, 2155, 4245, 5887, 6203, 6617, 1051, 6850, 2192, 6203, 6716, 2879, 6203, 2892, 2732, 6279, 4801, 2360, 1863, 15, 811, 4674, 5521, 804, 950, 1899, 34, 1338, 538, 6203, 4782, 4318, 6716, 3314, 6203, 2892, 6099, 1420, 3957, 1334, 5591, 1863, 6279, 6203, 3410, 6099, 811, 3528, 2360, 4382, 34, 3266, 6203, 3367, 3732, 3532, 3280, 15, 1670, 804, 950, 1899, 896, 5787, 896, 4729, 6279, 1107, 6203, 6099, 34, 3266, 6203, 4806, 3986, 3369, 1542, 4345, 3293, 715, 5124, 15, 6716, 4400, 660, 8, 6561, 9, 3104, 4818, 1048, 4740, 3500, 6203, 6128, 538, 6086, 6203, 2360, 4320, 3293, 811, 1670, 804, 950, 1899, 34]","If the Water in Fuel Indicator Light is on, it means that water has been detected in the fuel filter. In this situation, you should follow these steps: 1. DO NOT start the vehicle before draining the water from the fuel filter to prevent engine damage. 2. Contact an authorized dealer as soon as possible to bleed the system. 3. If the previously mentioned indicators come on immediately after refueling, water or AdBlue® (UREA) have probably been poured into the tank: switch the engine off immediately and contact an authorized dealer. It is important to note that the presence of water in the fuel system circuit may cause severe damage to the injection system and irregular engine operation. Therefore, it is crucial to address this issue promptly to avoid further damage to your vehicle.","['R1:  If the Water in Fuel Indicator Light is on, it means that water has been detected in the fuel filter.', 'R2:  In this situation, you should follow these steps: 1.', 'R3:  DO NOT start the vehicle before draining the water from the fuel filter to prevent engine damage.', 'R4: 2. Contact an authorized dealer as soon as possible to bleed the system.', 'R5: 3. If the previously mentioned indicators come on immediately after refueling, water or AdBlue® (UREA) have probably been poured into the tank: switch the engine off immediately and contact an authorized dealer.', 'R6:  It is important to note that the presence of water in the fuel system circuit may cause severe damage to the injection system and irregular engine operation.', 'R7:  Therefore, it is crucial to address this issue promptly to avoid further damage to your vehicle.']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported', 'R4': 'Neither', 'R5': 'Supported', 'R6': 'Supported', 'R7': 'Supported'}",Hallucinated,TRUE,FALSE
train_5,Ensemble Retriever,The Water in Fuel Indicator Light is on.  What should I do now?,"[6716, 3314, 2892, 3367, 3732, 3266, 2405, 6203, 6716, 3314, 2892, 3367, 3732, 6778, 3279, 6758, 6212, 3532, 6716, 2016, 3314, 6203, 2892, 2732, 34, 3266, 6227, 3732, 5173, 4345, 15, 2155, 4245, 5887, 6203, 6617, 1051, 6850, 2192, 6203, 6716, 2879, 6203, 2892, 2732, 6279, 4801, 2360, 1863, 15, 811, 4674, 5521, 804, 950, 1899, 34, 1338, 538, 6203, 4782, 4318, 6716, 3314, 6203, 2892, 6099, 1420, 3957, 1334, 5591, 1863, 6279, 6203, 3410, 6099, 811, 3528, 2360, 4382, 34, 3266, 6203, 3367, 3732, 3532, 3280, 15, 1670, 804, 950, 1899, 896, 5787, 896, 4729, 6279, 1107, 6203, 6099, 34, 3266, 6203, 4806, 3986, 3369, 1542, 4345, 3293, 715, 5124, 15, 6716, 4400, 660, 8, 6561, 9, 3104, 4818, 1048, 4740, 3500, 6203, 6128, 538, 6086, 6203, 2360, 4320, 3293, 811, 1670, 804, 950, 1899, 34, 2195, 2893, 5566, 2732, 2061, 2360, 6203, 2893, 5566, 3213, 3532, 3789, 3431, 6203, 3690, 2854, 4978, 3314, 2880, 4318, 6203, 2892, 6128, 34, 6203, 1079, 595, 6279, 6227, 6716, 2192, 6598, 3532, 2879, 6459, 6203, 6617, 34, 3266, 4185, 5184, 6203, 2892, 2732, 4879, 1770, 6279, 595, 6203, 6716, 2192, 6598, 34, 3266, 6716, 3532, 2016, 3314, 6203, 6716, 5566, 6765, 6203, 2360, 3532, 5397, 15, 4400, 6765, 6203, 3268, 6086, 3532, 3314, 6203, 4345, 4721, 15, 6203, 6716, 3314, 2892, 3367, 3732, 6778, 3279, 811, 804, 940, 1401, 6778, 1040, 3128, 34, 920, 6227, 4689, 6850, 5631, 5936, 6203, 2360, 811, 2192, 6203, 6716, 2879, 6203, 2732, 3213, 34, 6805, 130, 4041, 4318, 6617, 5644, 15, 6417, 6203, 2732, 2192, 6598, 8, 3789, 4345, 6203, 1153, 4318, 6203, 2732, 3213, 9, 1761, 6279, 2192, 2893, 539, 768, 6203, 613, 6716, 6279, 2192, 34, 3685, 6203, 2192, 6598, 4366, 6532, 766, 6716, 811, 1680, 3104, 1048, 5185, 34, 6758, 1450, 2892, 3532, 6652, 15, 1471, 6203, 2192, 6598, 1241, 6420, 3543, 1469, 34, 6551, 4867, 2195, 4318, 6203, 6716, 2879, 2892, 2732, 907, 15, 6203, 6716, 3314, 2892, 3367, 3732, 6778, 5171, 3280, 2821, 872, 130, 5512, 34, 3266, 6203, 6716, 6704, 2194, 6765, 6203, 2360, 6704, 5397, 15, 6203, 6716, 3314, 2892, 3367, 3732, 3957, 5171, 4345, 2821, 872, 6234, 4041, 34, 3266, 4111, 6200, 6430, 4416, 4400, 443, 4064, 4318, 2892, 3104, 1048, 2194, 15, 2812, 6203, 2092, 2821, 4809, 3266, 6203, 2360, 3102, 5396, 4418, 4318, 2892, 1338, 538, 2155, 4245, 2192, 6203, 2893, 5566, 2732, 6758, 6203, 2360, 3532, 5397, 34, 2061, 2892, 6778, 1863, 1098, 4560, 6067, 34, 2192, 6203, 2732, 3500, 804, 868, 1676, 34, 4247, 538, 1303, 5631, 1040, 6119, 3314, 2136, 4318, 6570, 2787, 2879, 6854, 6617, 34, 6570, 2787, 15, 3371, 2109, 15, 1277, 4783, 548, 4820, 6279, 6203, 2393, 34, 1670, 804, 950, 1899, 15, 5574, 5903, 15, 4400, 3004, 724, 2821, 701, 4345, 5095, 4842, 811, 2821, 6760, 6570, 2787, 811, 2734, 1277, 1040, 4868, 2135, 4318, 3314, 6854, 879, 34, 6845, 3367, 3739, 400, 3367, 3732, 400, 3367, 3732, 3266, 2405, 400, 3838, 3367, 3732, 400, 3838, 3367, 3732, 3266, 2405, 400, 4528, 6261, 3367, 3732, 400, 4528, 6261, 3367, 3732, 3266, 2405, 983, 3800, 2695, 3367, 3732, 983, 3800, 2695, 3367, 3732, 3266, 2405, 5038, 983, 3796, 3367, 3732, 5038, 983, 3796, 3367, 3732, 3266, 2405, 2880, 811, 5038, 983, 3796, 3367, 3732, 2880, 811, 5038, 983, 3796, 3367, 3732, 3266, 2405, 2838, 1515, 6698, 4320, 3367, 3732, 2838, 1515, 6698, 4320, 3367, 3732, 3266, 2405, 4197, 3367, 3732, 4197, 3367, 3732, 3266, 2405, 6082, 1024, 3367, 3732, 6082, 1024, 3367, 3732, 3266, 2405, 4320, 5350, 3367, 3732, 4320, 5350, 3367, 3732, 3266, 2405, 1308, 3732, 4345, 3367, 3732, 1308, 3732, 4345, 3367, 3732, 6683, 6279, 5887, 3367, 3732, 6683, 6279, 5887, 3367, 3732, 3266, 2405, 3838, 2061, 2480, 2335, 669, 660, 8, 6561, 9, 3367, 3732, 3838, 2061, 2480, 2335, 669, 660, 8, 6561, 9, 3367, 3732, 3266, 2405, 6716, 3314, 2892, 3367, 3732, 34]","If the Water in Fuel Indicator Light is on, do not start the vehicle before draining the water from the fuel filter to prevent engine damage. You should see an authorized dealer immediately. The fuel/water separator housing is located inside the left frame rail in front of the fuel tank. The best access to this water drain valve is from under the vehicle. If necessary, remove the fuel filter protective cover to access the water drain valve. Within 10 minutes of vehicle shutdown, turn the filter drain valve counterclockwise to drain fuel/water; allow the accumulated water to drain. Leave the drain valve open until all water and contaminants have been removed. When clear fuel is visible, close the drain valve by turning it clockwise. Upon proper draining of the water from fuel filter assembly, the Water In Fuel Indicator Light will remain illuminated for approximately 10 seconds.","['R1:  If the Water in Fuel Indicator Light is on, do not start the vehicle before draining the water from the fuel filter to prevent engine damage.', 'R2:  You should see an authorized dealer immediately.', 'R3:  The fuel/water separator housing is located inside the left frame rail in front of the fuel tank.', 'R4:  The best access to this water drain valve is from under the vehicle.', 'R5:  If necessary, remove the fuel filter protective cover to access the water drain valve.', 'R6:  Within 10 minutes of vehicle shutdown, turn the filter drain valve counterclockwise to drain fuel/water; allow the accumulated water to drain.', 'R7:  Leave the drain valve open until all water and contaminants have been removed.', 'R8:  When clear fuel is visible, close the drain valve by turning it clockwise.', 'R9:  Upon proper draining of the water from fuel filter assembly, the Water In Fuel Indicator Light will remain illuminated for approximately 10 seconds.']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported', 'R4': 'Supported', 'R5': 'Supported', 'R6': 'Supported', 'R7': 'Supported', 'R8': 'Supported', 'R9': 'Supported'}",Not Hallucinated,TRUE,FALSE
train_6,Adaptive Ensemble Search,What does the payload mean?,"[6203, 4562, 4318, 548, 6617, 3532, 1929, 896, 6203, 769, 3781, 6740, 548, 6391, 1277, 1320, 15, 3343, 6203, 6740, 4318, 6203, 2216, 15, 766, 4545, 15, 4398, 811, 1308, 34, 766, 1308, 6361, 3314, 6203, 4632, 1159, 4155, 1040, 5516, 34, 6203, 3956, 4562, 2821, 6203, 4014, 4721, 3532, 327, 3666, 8, 190, 3595, 9, 34, 8, 90, 9, 3788, 6203, 5899, 6203, 1538, 6740, 4318, 4298, 811, 1308, 5631, 4198, 2463, 6838, 3595, 4400, 6838, 3668, 34, 4345, 6854, 6617, 6, 4651, 34]","The payload of a vehicle refers to the maximum weight that a truck or other vehicle is designed to carry, including the weight of the driver, passengers, options, and cargo. It is the allowable load weight that a vehicle can carry without exceeding its maximum weight capacity. In the context provided, the maximum payload for the mid position is 300 lb (136 kg).","['R1:  The payload of a vehicle refers to the maximum weight that a truck or other vehicle is designed to carry, including the weight of the driver, passengers, options, and cargo.', 'R2:  It is the allowable load weight that a vehicle can carry without exceeding its maximum weight capacity.', 'R3:  In the context provided, the maximum payload for the mid position is 300 lb (136 kg).']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported'}",Not Hallucinated,TRUE,FALSE
train_7,Ensemble Retriever,What does the payload mean?,"[4562, 6203, 4562, 4318, 548, 6617, 3532, 1929, 896, 6203, 769, 3781, 6740, 548, 6391, 1277, 1320, 15, 3343, 6203, 6740, 4318, 6203, 2216, 15, 766, 4545, 15, 4398, 811, 1308, 34, 1822, 6740, 6203, 1822, 6740, 4318, 548, 6617, 3532, 1929, 896, 6203, 6306, 6740, 4318, 6203, 6617, 6803, 766, 2787, 15, 3343, 6617, 2892, 15, 920, 2897, 1296, 1615, 15, 811, 6803, 4212, 4298, 4400, 1308, 3782, 3500, 6203, 6617, 34, 6203, 2880, 811, 5038, 1822, 6740, 6597, 878, 2030, 1241, 6738, 6854, 6617, 4345, 548, 1551, 5448, 1051, 839, 4298, 4400, 1308, 878, 663, 34]","The payload refers to the maximum weight of all the passengers, options, and cargo that a vehicle can carry, including the weight of the driver.","['R1:  The payload refers to the maximum weight of all the passengers, options, and cargo that a vehicle can carry, including the weight of the driver.']",{'R1': 'Supported'},Not Hallucinated,TRUE,FALSE
train_8,Lucene Search,What does the payload mean?,"[4562, 6203, 4562, 4318, 548, 6617, 3532, 1929, 896, 6203, 769, 3781, 6740, 548, 6391, 1277, 1320, 15, 3343, 6203, 6740, 4318, 6203, 2216, 15, 766, 4545, 15, 4398, 811, 1308, 34]","The payload of a vehicle refers to the maximum weight that a truck or other vehicle is designed to carry, including the weight of the driver, passengers, any additional equipment or options, and any cargo or goods being transported. It is the total weight that the vehicle can safely handle without causing damage or compromising its performance.","['R1:  The payload of a vehicle refers to the maximum weight that a truck or other vehicle is designed to carry, including the weight of the driver, passengers, any additional equipment or options, and any cargo or goods being transported.', 'R2:  It is the total weight that the vehicle can safely handle without causing damage or compromising its performance.']","{'R1': 'Supported', 'R2': 'Supported'}",Not Hallucinated,TRUE,FALSE
train_9,Ensemble Retriever (Base),how to set a desired speed for cruise control?,"[6279, 5582, 548, 2006, 5826, 6417, 6203, 1807, 1702, 4345, 34, 6758, 6203, 6617, 3102, 5021, 6203, 2006, 5826, 15, 4927, 6203, 5582, 8, 11, 9, 4400, 5582, 8, 16, 9, 1234, 811, 5159, 34, 5159, 6203, 589, 811, 6203, 6617, 6778, 4378, 920, 6203, 5533, 5826, 34, 4247, 538, 6203, 6617, 5631, 1040, 6371, 920, 548, 5912, 5826, 811, 4345, 3710, 3040, 1051, 4931, 6203, 5582, 8, 11, 9, 4400, 5582, 8, 16, 9, 1234, 34]","To set a desired speed for cruise control, you need to turn the cruise control on. Once the vehicle has reached the desired speed, push the SET (+) or SET (-) button and release. Then, release the accelerator and the vehicle will operate at the selected speed. It is important to note that the vehicle should be traveling at a steady speed and on level ground before pushing the SET (+) or SET (-) button.","['R1:  To set a desired speed for cruise control, you need to turn the cruise control on.', 'R2:  Once the vehicle has reached the desired speed, push the SET (+) or SET (-) button and release.', 'R3:  Then, release the accelerator and the vehicle will operate at the selected speed.', 'R4:  It is important to note that the vehicle should be traveling at a steady speed and on level ground before pushing the SET (+) or SET (-) button.']","{'R1': 'Supported', 'R2': 'Supported', 'R3': 'Supported', 'R4': 'Supported'}",Not Hallucinated,TRUE,FALSE
